symptom_en,symptom_th,symptom_th_alt,symptom_dialect,body_system,ui_label,is_user_facing
weight_gain,น้ำหนักขึ้น,"อ้วนขึ้น, ตัวบวม, น้ำหนักขึ้น, อ้วนผิดปกติ, น้ำหนักเพิ่ม","ตุ้ยขึ้น, เนื้อขึ้น",ทั่วไป,น้ำหนักขึ้น (weight gain),True
anxiety,วิตกกังวล,"เครียด, กังวล, วิตกกังวล, คิดมาก, ใจไม่สงบ","ใจบ่ดี, คิดหลาย, ใจคอบ่ดี",จิตใจและพฤติกรรม,วิตกกังวล (anxiety),True
cold_hands_and_feets,มือเท้าเย็น,"ปลายมือปลายเท้าเย็น, มือเย็น, เท้าเย็น, มือเท้าเย็นเฉียบ","มือตีนเย็น, ตีนมือเย็น, มือเย็นตีนเย็น",หัวใจและหลอดเลือด,มือเท้าเย็น (cold extremities),True
mood_swings,อารมณ์แปรปรวน,"อารมณ์ขึ้นๆ ลงๆ, อารมณ์แปรปรวน, อารมณ์ไม่คงที่, เดี๋ยวดีเดี๋ยวร้าย","อารมณ์บ่คงที่, อารมณ์ขึ้นลง",จิตใจและพฤติกรรม,อารมณ์แปรปรวน (mood swings),True
weight_loss,น้ำหนักลด,"ผอมลง, ลดน้ำหนักผิดปกติ, น้ำหนักลด, ตัวเล็กลง, ซูบ","เนื้อหด, ลีบลง",ทั่วไป,น้ำหนักลด (weight loss),True
restlessness,กระสับกระส่าย,"นิ่งไม่ได้, อยู่ไม่นิ่ง, กระสับกระส่าย, ตึงเครียด, นั่งไม่ติด","อยู่บ่ติด, อยู่บ่สุข, นั่งบ่ติด, ดิ้นรน",จิตใจและพฤติกรรม,กระสับกระส่าย (restlessness),True
lethargy,เซื่องซึม,"เฉื่อยชา, เนือย, ซึม, ไม่ค่อยมีแรง, ดูแย่","เซื่อง, เหงาซึม, บ่กระตือรือร้น",ทั่วไป,เซื่องซึม (lethargy),True
patches_in_throat,คอเป็นปื้น,"คอเป็นจุดขาว, ฝ้าในคอ, คอเป็นแผ่น, คอเป็นปื้น, คอขาว","คอเป็นฝ้า, คอขาวเป็นปื้น, ในคอเป็นจุด",หู คอ จมูก,คอเป็นปื้น (throat patches),True
irregular_sugar_level,ระดับน้ำตาลผิดปกติ,น้ำตาลในเลือดเปลี่ยนแปลง,,ต่อมไร้ท่อ/เมตาบอลิก,น้ำตาลผิดปกติ (irregular sugar),False
cough,ไอ,"ไอแห้ง, ไอมีเสมหะ, ไอกระแอม, ไอจนเจ็บอก, ไอตลอด","ไอค่อกๆ, ไอแค่กๆ, ไอบ่เซา",ทางเดินหายใจ,ไอ (cough),True
high_fever,ไข้สูง,"ตัวร้อนจัด, ไข้ > 38.5°C, ไข้ขึ้นสูง, ตัวร้อนจี๋, ตัวร้อนเป็นไฟ","ตัวฮ้อนหลาย, ไข้แฮง, ไข้พุ่ง",ทั่วไป,ไข้สูง (>38.5°C),True
sunken_eyes,ตาโบ๋,"ตาลึก, ตาตอบ, ตาโบ๋, ขอบตาดำลึก, ตาช้ำ","ตาโหล, ตากลวง",ทั่วไป,ตาโบ๋ (sunken eyes),True
breathlessness,หายใจไม่ออก,"หอบ, หายใจติดขัด, หายใจไม่ออก, หายใจไม่ทัน, อึดอัด, หายใจลำบาก, หายใจหนัก, หายใจไม่สะดวก, หอบเหนื่อย, เหนื่อยหอบ, หายใจเหนื่อย","หายใจบ่ออก, หายใจขัด",ทางเดินหายใจ,หายใจไม่ออก (breathlessness),True
sweating,เหงื่อออก,"เหงื่อท่วม, เหงื่อแตก, เหงื่อออก, เหงื่อโชก, ตัวเปียกเหงื่อ","เหงื่อโซม, เหื่อออก, เหงื่อไหล",ทั่วไป,เหงื่อออก (sweating),True
dehydration,ขาดน้ำ,"คอแห้ง, ปากแห้งมาก, ขาดน้ำ, กระหายน้ำ, ปัสสาวะน้อย","ตัวแห้ง, คอแห้งหิวน้ำ",ทั่วไป,ขาดน้ำ (dehydration),True
indigestion,อาหารไม่ย่อย,"ท้องอืด, จุกเสียด, อาหารไม่ย่อย, แน่นท้อง, ท้องเฟ้อ","อาหารบ่ย่อย, จุกแน่น, ท้องอืดบ่ย่อย",ทางเดินอาหาร,อาหารไม่ย่อย (indigestion),True
headache,ปวดหัว,"ปวดศีรษะ, ปวดหัวตึ้บ, ปวดหัวจี๊ด, หัวจะระเบิด, หัวตื้อ, ความดันสูง, ความดันโลหิตสูง, ความดันขึ้น","เจ็บหัว, ปวดกบาล, ปวดหัวตื้อ, หัวตึ้บ",หัวและสมอง,ปวดหัว (headache),True
yellowish_skin,ผิวเหลือง (ดีซ่าน),"ตัวเหลือง, ผิวเหลือง, ดีซ่าน, เหลืองทั้งตัว, สีผิวเหลืองคล้ำ","หนังเหลือง, ผิวออกเหลือง",ผิวหนัง,ผิวเหลือง (jaundice),True
dark_urine,ปัสสาวะสีเข้ม,"ฉี่สีดำ, ฉี่สีโคล่า, ฉี่เข้ม, ฉี่สีน้ำตาล, ปัสสาวะสีเข้ม","เยี่ยวเข้ม, ฉี่สีเข้ม, เยี่ยวสีชา",ทางเดินปัสสาวะ,ฉี่สีเข้ม (dark urine),True
nausea,คลื่นไส้,"พะอืดพะอม, มวนท้อง, คลื่นไส้, จะอ้วก, อยากอ้วก","อยากฮาก, คลื่นเหียน",ทางเดินอาหาร,คลื่นไส้ (nausea),True
loss_of_appetite,เบื่ออาหาร,"ไม่อยากกิน, กินไม่ลง, เบื่ออาหาร, กินไม่ได้, ไม่หิว","กินบ่ลง, เบื่อข้าว, บ่อยากกิน, กินข้าวบ่ได้",ทางเดินอาหาร,เบื่ออาหาร (loss of appetite),True
pain_behind_the_eyes,ปวดหลังตา,"ปวดเบ้าตา, ปวดในตา, ปวดหลังตา, ปวดลึกๆ ในเบ้าตา","เจ็บหลังตา, ปวดในตา, ปวดเบ้าตา",ตา,ปวดหลังตา (pain behind eyes),True
back_pain,ปวดหลัง,"ปวดบั้นเอว, เมื่อยหลัง, ปวดหลัง, ปวดหลังตึ้บ, หลังตึง","เจ็บหลัง, ปวดเอว, หลังปวด",กล้ามเนื้อและข้อ,ปวดหลัง (back pain),True
constipation,ท้องผูก,"ถ่ายไม่ออก, ท้องผูก, อึแข็ง, ขี้ก้อน, ขี้ไม่ออก","ขี้บ่ออก, ถ่ายบ่ออก, ขี้แข็ง, ท้องผูกขี้บ่ลง",ทางเดินอาหาร,ท้องผูก (constipation),True
abdominal_pain,ปวดช่องท้อง,"ปวดท้อง, จุกใต้ลิ้นปี่, ปวดท้องบน, ปวดเสียดท้อง, ท้องเจ็บ","เจ็บท้อง, ปวดพุง, เจ็บพุง, เจ็บต๊อง",ทางเดินอาหาร,ปวดช่องท้อง (abdominal pain),True
diarrhoea,ท้องเสีย,"ท้องร่วง, ถ่ายเหลว, ขี้แตก, ถ่ายเป็นน้ำ, ท้องเดิน","ขี้ไหล, ขี้ราก, ลงท้อง, ท้องเหลว, ถอกท้อง",ทางเดินอาหาร,ท้องเสีย (diarrhoea),True
mild_fever,ไข้ต่ำ,"ตัวอุ่น, ไข้รุมๆ, ตัวอุ่นๆ, ไข้รุมๆ ไม่หาย, ครั่นไข้","ไข้นิดๆ, ตัวรุมๆ, ไข้หวิวๆ",ทั่วไป,ไข้ต่ำ (mild fever),True
yellow_urine,ปัสสาวะสีเหลืองเข้ม,"ฉี่เหลืองจัด, ฉี่สีเหลืองเข้ม, ฉี่สีชา, ฉี่เข้ม","เยี่ยวเหลืองเข้ม, เยี่ยวสีเหลืองแก่",ทางเดินปัสสาวะ,ฉี่เหลืองเข้ม (yellow urine),True
yellowing_of_eyes,ตาเหลือง,"ตาขาวเหลือง, ตาเหลือง, ตาเหลืองดีซ่าน, ลูกตาเหลือง","ตาออกเหลือง, นัยน์ตาเหลือง",ตา,ตาเหลือง (icterus),True
acute_liver_failure,ตับวายเฉียบพลัน,ตับล้มเหลว,,ทางเดินอาหาร,ตับวายเฉียบพลัน (acute liver failure),False
fluid_overload,น้ำเกินในร่างกาย,"บวมน้ำ, สะสมน้ำ",,หัวใจและหลอดเลือด,น้ำเกิน (fluid overload),False
swelling_of_stomach,ท้องบวม,"ท้องโต, อืดท้อง, ท้องโตผิดปกติ, ท้องบวมน้ำ","ท้องป่อง, พุงป่อง, ท้องขึ้น",ทางเดินอาหาร,ท้องบวม (abdominal swelling),True
swelled_lymph_nodes,ต่อมน้ำเหลืองโต,"เม็ดที่คอ/รักแร้/ขาหนีบโต, ต่อมน้ำเหลืองบวม, ก้อนที่คอ, ก้อนที่รักแร้","ต่อมโต, เม็ดที่คอโต, ต่อมที่คอบวม, ไข่ดันโต",ทั่วไป,ต่อมน้ำเหลืองโต (swollen lymph nodes),True
malaise,รู้สึกไม่สบาย,"ครั่นเนื้อครั่นตัว, รู้สึกไม่สบาย, ป่วยๆ, ไม่สบายเนื้อสบายตัว","บ่สบายเนื้อสบายตัว, เมื่อยเนื้อเมื่อยตัว, ตัวบ่ดี",ทั่วไป,ครั่นเนื้อครั่นตัว (malaise),True
blurred_and_distorted_vision,ตามัวและบิดเบี้ยว,"มองไม่ชัด, เห็นภาพซ้อน, ตามัว, ตาพร่า, มองภาพบิดเบี้ยว","มองบ่ชัด, ตาฝ้าฟาง, เห็นเบลอ",ตา,ตามัว (blurred vision),True
phlegm,เสมหะ,"เสลด, เมือกในคอ, เสมหะ, เมือก, ขากเสลด","ขี้เสลด, ขาก",ทางเดินหายใจ,เสมหะ (phlegm),True
throat_irritation,คอระคายเคือง,"คอแสบ, เจ็บคอ, ระคายคอ, คอเจ็บกลืนลำบาก, คอคัน","คอแห้งคัน, คอขากๆ",หู คอ จมูก,คอระคายเคือง (throat irritation),True
redness_of_eyes,ตาแดง,"ตาแดงก่ำ, ตาแดง, ตาแดงคัน, ตาขาวแดง","ตาแดงก่ำ, ตาแดงเรื่อ, ตาแดง",ตา,ตาแดง (red eyes),True
sinus_pressure,ปวดแน่นไซนัส,"ปวดโพรงจมูก, ปวดหน้าผาก/แก้ม, ปวดไซนัส, แน่นโหนกแก้ม, แน่นจมูก","ปวดแน่นโพรงจมูก, จมูกตื้อ, ปวดหัวคิ้ว",หู คอ จมูก,ปวดไซนัส (sinus pressure),True
runny_nose,น้ำมูกไหล,"น้ำมูก, น้ำมูกไหล, น้ำมูกย้อย, จมูกแฉะ, น้ำมูกใส","ขี้มูกไหล, มูกย้อย",หู คอ จมูก,น้ำมูกไหล (runny nose),True
congestion,คัดจมูก,"จมูกตัน, แน่นจมูก, คัดจมูก, จมูกอุดตัน, หายใจไม่โล่ง","จมูกบ่โล่ง, จมูกอื้อ",หู คอ จมูก,คัดจมูก (congestion),True
chest_pain,เจ็บหน้าอก,"แน่นหน้าอก, ปวดอก, เจ็บอก, เจ็บกลางอก, อกแน่น","เจ็บอก, แน่นอก, ปวดอก",หัวใจและหลอดเลือด,เจ็บหน้าอก (chest pain),True
weakness_in_limbs,แขนขาอ่อนแรง,"แขนขาเดี้ยง, ยกแขนขาไม่ได้, แขนขาอ่อนแรง, แขนขาไม่มีแรง, แขนขาเป็นเหน็บ","แขนขาบ่มีแฮง, มือตีนอ่อน, แขนขาหมดแรง",ระบบประสาท,แขนขาอ่อนแรง (limb weakness),True
fast_heart_rate,หัวใจเต้นเร็ว,"หัวใจเต้นแรง, หัวใจเต้นเร็ว, ใจเต้นรัว, ใจสั่น, ชีพจรเร็ว","ใจเต้นเร็ว, หัวใจเต้นแฮง, ใจเต้นแรง",หัวใจและหลอดเลือด,หัวใจเต้นเร็ว (tachycardia),True
pain_during_bowel_movements,ปวดเวลาถ่าย,"เจ็บตอนถ่าย, ปวดเวลาถ่าย, ถ่ายแล้วเจ็บ, เบ่งเจ็บ, ขี้แล้วเจ็บ, ขี้ลำบาก","เจ็บตอนขี้, ปวดตอนถ่าย",ทางเดินอาหาร,ปวดเวลาถ่าย (pain during BM),True
pain_in_anal_region,ปวดบริเวณทวารหนัก,"ปวดก้น, ปวดทวาร, ปวดรูทวาร, ก้นเจ็บ, แสบก้น","เจ็บก้น, เจ็บรูขี้, ปวดตูด",ทางเดินอาหาร,ปวดทวาร (anal pain),True
bloody_stool,ถ่ายเป็นเลือด,"อุจจาระมีเลือด, ถ่ายดำ, ถ่ายมีเลือด, อึมีเลือด, ขี้เป็นเลือด","ขี้ปนเลือด, อึเป็นเลือด",ทางเดินอาหาร,ถ่ายเป็นเลือด (bloody stool),True
irritation_in_anus,ระคายเคืองทวาร,"คันทวาร, แสบรอบทวาร, แสบก้น, ระคายก้น, คันก้น","คันรูทวาร, คันรูขี้",ทางเดินอาหาร,คันทวาร (anal irritation),True
neck_pain,ปวดคอ,"เมื่อยคอ, คอแข็ง, ปวดคอ, คอตึง, ปวดต้นคอ","คอเคล็ด, คอตึงปวด",กล้ามเนื้อและข้อ,ปวดคอ (neck pain),True
dizziness,เวียนหัว,"วิงเวียน, มึนหัว, เวียนหัว, หน้ามืด, หัวหมุน, ความดันต่ำ, ความดันตก","มึนหัว, หัวหมุน, เมาหัว, หน้ามืด, วิงเวียน",หัวและสมอง,เวียนหัว (dizziness),True
cramps,ตะคริว,"เป็นตะคริว, กล้ามเนื้อหดเกร็ง, ตะคริวกิน, น่องเกร็ง, ขาเกร็ง","เป็นตะคิว, ขาขอด, เส้นตึง",กล้ามเนื้อและข้อ,ตะคริว (cramps),True
bruising,จ้ำเลือด,"เป็นจ้ำเขียว, ฟกช้ำง่าย, ห้อเลือด, ช้ำง่าย, จ้ำเขียวๆ","เขียวช้ำ, ช้ำเขียว, จ้ำเขียว, ฟกช้ำ",ผิวหนัง,จ้ำเลือด (bruising),True
obesity,อ้วน,"น้ำหนักเกิน, BMI สูง, อ้วน, ตัวใหญ่, น้ำหนักเยอะ","ตุ้ยนุ้ย, พุงพลุ้ย, ตุ้ย",ทั่วไป,อ้วน (obesity),True
swollen_legs,ขาบวม,"ขาเป็นน้ำ, ขาโต, ขาบวม, ขาบวมน้ำ, ขาใหญ่","ขาป่อง, ตีนบวม, ขาบวมฉุ",หัวใจและหลอดเลือด,ขาบวม (swollen legs),True
swollen_blood_vessels,เส้นเลือดโป่งพอง,"เส้นเลือดขอด, เส้นเลือดโป่ง, เส้นเลือดบวม, เส้นเขียวคด","เส้นเลือดป่อง, เส้นขอด",หัวใจและหลอดเลือด,เส้นเลือดโป่งพอง (swollen vessels),True
puffy_face_and_eyes,หน้าและตาบวม,"หน้าโต, ตาโป่ง, หน้าบวม, ตาบวม, หน้าฉุ","หน้าป่องตาป่อง, หน้าบวมตาปิด",ทั่วไป,หน้า/ตาบวม (puffy face),True
enlarged_thyroid,ต่อมไทรอยด์โต,"คอเป็นก้อน, คอพอก, ต่อมไทรอยด์โต, คอพอกโต, คอบวมกลางคอ, ลูกกระเดือกโต","ต่อมคอโต, คอโต",ต่อมไร้ท่อ/เมตาบอลิก,ไทรอยด์โต (enlarged thyroid),True
brittle_nails,เล็บเปราะ,"เล็บแตกง่าย, เล็บฉีก, เล็บเปราะ, เล็บบาง, เล็บลอก","เล็บกรอบ, เล็บหักง่าย",ผม/เล็บ,เล็บเปราะ (brittle nails),True
swollen_extremeties,ปลายมือปลายเท้าบวม,"นิ้วบวม, มือบวม, เท้าบวม, ปลายมือเท้าบวม","ปลายมือปลายตีนบวม, มือบวมตีนบวม, ปลายมือเท้าป่อง",หัวใจและหลอดเลือด,ปลายแขน-ขาบวม (swollen extremities),True
excessive_hunger,หิวมากผิดปกติ,"หิวบ่อย, กินเยอะแต่ไม่อิ่ม, หิวจัด, หิวตลอด, หิวผิดปกติ","หิวหลาย, หิวจัด, หิวบ่อย, หิวตลอด",ต่อมไร้ท่อ/เมตาบอลิก,หิวมาก (excessive hunger),True
extra_marital_contacts,มีคู่นอนหลายคน / เพศสัมพันธ์เสี่ยง,"เพศสัมพันธ์ไม่ป้องกัน, เปลี่ยนคู่นอนบ่อย",,ประวัติ/ปัจจัยเสี่ยง,เพศสัมพันธ์เสี่ยง (risky sex),False
drying_and_tingling_lips,ริมฝีปากแห้งและชา,"ปากแห้ง, ชารอบปาก, ปากลอก, ปากแตก, ปากเป็นขุย","ปากแห้งซ่า, ริมฝีปากแห้งชา",ผิวหนัง,ปากแห้ง-ชา (dry tingling lips),True
slurred_speech,พูดไม่ชัด,"พูดอ้อแอ้, ลิ้นแข็ง, พูดไม่ชัด, พูดติดอ่าง, พูดเหมือนเมา","เว้าบ่ชัด, อู้บ่ชัด",ระบบประสาท,พูดไม่ชัด (slurred speech),True
knee_pain,ปวดเข่า,"เจ็บเข่า, ข้อเข่าเจ็บ, ปวดเข่า, เข่าบวม, เข่าเสื่อม","ปวดหัวเข่า, เข่าปวด",กล้ามเนื้อและข้อ,ปวดเข่า (knee pain),True
hip_joint_pain,ปวดข้อสะโพก,"ปวดสะโพก, ปวดข้อสะโพก, สะโพกเจ็บ, ปวดเอวด้านข้าง","เจ็บสะโพก, ปวดตะโพก, ปวดข้อตะโพก",กล้ามเนื้อและข้อ,ปวดสะโพก (hip pain),True
muscle_weakness,กล้ามเนื้ออ่อนแรง,"กำลังลดลง, ยกของไม่ไหว, กล้ามเนื้ออ่อน, อ่อนแรง, ไม่มีกำลัง","กล้ามอ่อนแรง, เนื้อบ่มีแฮง, แรงตก",กล้ามเนื้อและข้อ,กล้ามเนื้ออ่อนแรง (muscle weakness),True
stiff_neck,คอแข็ง,"คอแข็งทื่อ, คอแข็ง, คอเอียงไม่ได้, ก้มคอไม่ได้, คอตึงมาก","คอตึง, ต้นคอแข็ง, คอเอียงบ่ได้",กล้ามเนื้อและข้อ,คอแข็ง (stiff neck),True
swelling_joints,ข้อบวม,"ข้อโต, ข้อพอง, ข้อบวม, ข้อบวมแดง, ข้อโตแดง","ข้อป่อง, ข้อต่อบวม",กล้ามเนื้อและข้อ,ข้อบวม (swelling joints),True
movement_stiffness,ขยับลำบาก,"ตัวแข็ง, เคลื่อนไหวฝืด, ขยับลำบาก, ขยับไม่ออก, ฝืดทั้งตัว","ขยับบ่ค่อยได้, ตัวแข็งขยับยาก, กระดิกบ่สะดวก",กล้ามเนื้อและข้อ,ขยับลำบาก (movement stiffness),True
spinning_movements,บ้านหมุน,"โลกหมุน, รู้สึกหมุน, บ้านหมุน, หัวหมุน, เวียนหัวหมุน","หัวหมุนติ้ว, มึนหมุน",หัวและสมอง,บ้านหมุน (vertigo),True
loss_of_balance,ทรงตัวไม่ได้,"เซ, ทรงตัวลำบาก, ทรงตัวไม่ได้, เดินเซ, เซไปเซมา","ทรงตัวบ่ได้, ตัวเซ, ยืนบ่อยู่, ล้มง่าย",ระบบประสาท,ทรงตัวไม่ได้ (loss of balance),True
unsteadiness,เดินเซ,"ตัวโคลง, ทรงไม่นิ่ง, เดินเซ, ตัวเซ, เดินโซเซ","ย่างเซ, เดินบ่ตรง",ระบบประสาท,เดินเซ (unsteadiness),True
weakness_of_one_body_side,อ่อนแรงครึ่งซีก,"อัมพาตครึ่งซีก, อ่อนแรงครึ่งซีก, ซีกหนึ่งของตัวอ่อน, ครึ่งตัวอ่อนแรง","อ่อนแรงซีกเดียว, แขนขาข้างเดียวอ่อน, ตัวซีกหนึ่งบ่มีแฮง",ระบบประสาท,อ่อนแรงครึ่งซีก (hemiparesis),True
loss_of_smell,จมูกไม่ได้กลิ่น,"ดมไม่รู้กลิ่น, จมูกไม่ได้กลิ่น, ไม่ได้กลิ่น, กลิ่นไม่เข้า","ดมบ่ได้กลิ่น, จมูกบ่ได้กลิ่น, ดมบ่หอม, จมูกดับ",หู คอ จมูก,จมูกไม่ได้กลิ่น (anosmia),True
bladder_discomfort,ระคายกระเพาะปัสสาวะ,"ปวดเบาๆ ที่ท้องน้อย, ระคายกระเพาะปัสสาวะ, ปวดท้องน้อยเรื่อยๆ, รู้สึกระคายตอนฉี่","ปวดหน่วงท้องน้อย, เยี่ยวบ่สุด, ขัดเบา, หน่วงกระเพาะเยี่ยว",ทางเดินปัสสาวะ,ระคายกระเพาะปัสสาวะ (bladder discomfort),True
foul_smell_of urine,ปัสสาวะเหม็น,"ฉี่กลิ่นแรง, ฉี่เหม็น, ฉี่กลิ่นเหม็น, ปัสสาวะเหม็น","เยี่ยวเหม็น, เยี่ยวกลิ่นแรง",ทางเดินปัสสาวะ,ฉี่เหม็น (foul-smelling urine),True
continuous_feel_of_urine,ปวดปัสสาวะตลอด,"ปวดฉี่บ่อย, ฉี่ไม่สุด, ปวดฉี่ตลอด, รู้สึกอยากฉี่ตลอด","ปวดเยี่ยวตลอด, อยากเยี่ยวตลอด, ปวดเบาตลอด",ทางเดินปัสสาวะ,ปวดฉี่ตลอด (urge incontinence),True
passage_of_gases,ผายลมบ่อย,"ตด, ลมในท้องเยอะ, ผายลม, ตดบ่อย, ลมเยอะ","ตดบ่อย, ตดหลาย, ผายลมบ่อย, ลมในท้องเยอะ",ทางเดินอาหาร,ผายลมบ่อย (excess gas),True
internal_itching,คันใน,"คันลึก, คันในเนื้อ, คันลึกๆ, คันข้างใน, คันยุบยิบใน","คันข้างใน, คันในเนื้อ, คันลึกๆ",ผิวหนัง,คันใน (internal itching),True
toxic_look_(typhos),หน้าซีดเซียว ดูป่วยหนัก,"สีหน้าโทรม, ดูซึม-อ่อนล้ามาก, หน้าซีด, ดูป่วยหนัก, สีหน้าไม่ดี","หน้าตาโทรม, หน้าเซียว",ทั่วไป,ดูป่วยหนัก (toxic appearance),True
depression,ซึมเศร้า,"เศร้า, อารมณ์ตก, ซึมเศร้า, ห่อเหี่ยว, ใจไม่ดี","ใจห่อเหี่ยว, เหงาหงอย, ใจคอห่อเหี่ยว, เศร้าหมอง",จิตใจและพฤติกรรม,ซึมเศร้า (depression),True
irritability,หงุดหงิดง่าย,"หัวเสีย, ฉุนเฉียว, หงุดหงิด, อารมณ์ขึ้น, รำคาญ","ฉุนง่าย, อารมณ์เสียง่าย, จี๊ดง่าย",จิตใจและพฤติกรรม,หงุดหงิด (irritability),True
muscle_pain,ปวดกล้ามเนื้อ,"เมื่อยกล้ามเนื้อ, ปวดเมื่อย, ปวดเนื้อปวดตัว, ปวดตัว, ปวดเมื่อยทั้งตัว","เมื่อยเนื้อ, เจ็บกล้าม",กล้ามเนื้อและข้อ,ปวดกล้ามเนื้อ (muscle pain),True
altered_sensorium,ระดับสติเปลี่ยนแปลง,"งง, สับสน, ไม่ค่อยรู้ตัว",,ระบบประสาท,สติเปลี่ยน (altered sensorium),False
red_spots_over_body,จุดแดงทั่วตัว,"ผื่นแดงเป็นจุด, จุดเลือดออก, จุดแดงเล็ก, เลือดออกใต้ผิว","จุดแดงทั้งโต, เม็ดแดงทั่วตัว, ผื่นแดงทั้งตัว",ผิวหนัง,จุดแดงทั่วตัว (red spots),True
belly_pain,ปวดท้องน้อย,"ปวดช่องท้องน้อย, ปวดท้องน้อย, ปวดท้องล่าง, ปวดเชิงกราน","เจ็บท้องน้อย, ปวดพุงน้อย, เจ็บใต้สะดือ",ทางเดินอาหาร,ปวดท้องน้อย (belly pain),True
abnormal_menstruation,ประจำเดือนผิดปกติ,"เมนส์ผิดปกติ, ประจำเดือนผิดปกติ, เมนส์มาผิดปกติ, เมนส์มาๆ หายๆ, เมนส์ขาด","ประจำเดือนมาบ่ปกติ, รอบเดือนเพี้ยน",ระบบสืบพันธุ์,ประจำเดือนผิดปกติ (abnormal menses),True
dischromic _patches,ปื้นด่างขาว/คล้ำ,"ผิวด่าง, สีผิวไม่สม่ำเสมอ, ปื้นขาว, ปื้นคล้ำ, ผิวเป็นปื้น","ด่างขาว, เป็นปื้นด่าง",ผิวหนัง,ผิวด่าง (dischromic patches),True
